Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_4_93,VGND,li1,48.9900,21.7600,0.000023
FILLER_4_85,VGND,li1,46.4600,21.7600,0.000022
FILLER_4_81,VGND,li1,43.4700,21.7600,0.000021
FILLER_4_59,VGND,li1,34.5000,21.7600,0.000015
FILLER_4_47,VGND,li1,29.9000,21.7600,0.000013
FILLER_4_34,VGND,li1,22.5400,21.7600,0.000011
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000012
FILLER_4_10,VGND,li1,10.3500,21.7600,0.000013
FILLER_4_6,VGND,li1,9.2000,21.7600,0.000013
FILLER_3_102,VGND,li1,52.6700,21.7600,0.000024
FILLER_3_83,VGND,li1,44.1600,21.7600,0.000021
FILLER_3_75,VGND,li1,41.8600,21.7600,0.000020
FILLER_3_65,VGND,li1,35.6500,21.7600,0.000017
FILLER_3_57,VGND,li1,33.5800,21.7600,0.000015
FILLER_3_50,VGND,li1,29.9000,21.7600,0.000013
FILLER_3_37,VGND,li1,23.4600,21.7600,0.000011
FILLER_3_25,VGND,li1,19.7800,21.7600,0.000012
FILLER_3_15,VGND,li1,12.8800,21.7600,0.000012
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000013
FILLER_2_99,VGND,li1,51.2900,16.3200,0.000019
FILLER_2_85,VGND,li1,45.0800,16.3200,0.000019
FILLER_2_82,VGND,li1,43.7000,16.3200,0.000018
FILLER_2_63,VGND,li1,34.7300,16.3200,0.000015
FILLER_2_57,VGND,li1,32.4300,16.3200,0.000015
FILLER_2_29,VGND,li1,19.3200,16.3200,0.000012
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000012
FILLER_2_15,VGND,li1,13.8000,16.3200,0.000012
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000012
FILLER_1_100,VGND,li1,52.2100,16.3200,0.000019
FILLER_1_92,VGND,li1,49.6800,16.3200,0.000019
FILLER_1_77,VGND,li1,41.1700,16.3200,0.000018
FILLER_1_73,VGND,li1,40.0200,16.3200,0.000018
FILLER_1_62,VGND,li1,34.2700,16.3200,0.000015
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000013
FILLER_1_51,VGND,li1,29.9000,16.3200,0.000013
FILLER_1_39,VGND,li1,24.1500,16.3200,0.000011
FILLER_1_15,VGND,li1,14.2600,16.3200,0.000012
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000012
FILLER_0_102,VGND,li1,52.6700,10.8800,0.000017
FILLER_0_90,VGND,li1,49.6800,10.8800,0.000017
FILLER_0_85,VGND,li1,45.0800,10.8800,0.000017
FILLER_0_83,VGND,li1,43.9300,10.8800,0.000017
FILLER_0_71,VGND,li1,40.9400,10.8800,0.000017
FILLER_0_57,VGND,li1,32.4300,10.8800,0.000017
FILLER_0_42,VGND,li1,25.3000,10.8800,0.000011
FILLER_0_34,VGND,li1,22.0800,10.8800,0.000011
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000011
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000011
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000011
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000011
fanout32,VGND,li1,51.9800,48.9600,0.000024
fanout31,VGND,li1,51.0600,48.9600,0.000024
